"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.36,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5360.423,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5538.347,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5851.055,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4777.091,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",5013.987,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5103.2,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5427.957,"E"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2670.883,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2891.435,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3170.668,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3427.91,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4849.601,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5107.207,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5294.51,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5567.899,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4103.423,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4221.84,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4331.459,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4578.42,"E"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4934.851,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",5056.85,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5154.119,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5375.699,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5667.773,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",6010.556,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6223.787,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6645.757,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2016",2220.792,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2017",2238.575,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2265.899,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2019",2383.628,"E"
"HUN","HEALTHEXP","TOT","USD_CAP","A","2016",1999.618,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2017",2029.307,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2149.72,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2019",2222.426,"P"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2016",4544.695,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2017",4742.979,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4911.848,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2019",5275.543,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2016",3273.919,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2017",3399.199,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3484.935,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2019",3649.206,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2016",4864.116,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2017",5012.604,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2018",5216.284,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2019",5558.322,"E"
"NLD","HEALTHEXP","TOT","USD_CAP","A","2016",5075.476,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2017",5263.825,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2018",5436.287,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2019",5765.098,"P"
"POL","HEALTHEXP","TOT","USD_CAP","A","2016",1959.032,
"POL","HEALTHEXP","TOT","USD_CAP","A","2017",2075.848,
"POL","HEALTHEXP","TOT","USD_CAP","A","2018",2113.702,
"POL","HEALTHEXP","TOT","USD_CAP","A","2019",2229.601,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2016",2822.462,"B"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2017",2922.416,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2018",3097.301,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2019",3378.627,"P"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2016",2039.544,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2017",2048.386,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2018",2142.079,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2019",2353.645,"E"
"ESP","HEALTHEXP","TOT","USD_CAP","A","2016",3148.718,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2017",3322.37,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2018",3429.798,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2019",3616.459,"E"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2016",5121.772,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2017",5318.124,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2018",5433.728,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2019",5782.292,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2016",2028.168,
"EST","HEALTHEXP","TOT","USD_CAP","A","2017",2216.541,
"EST","HEALTHEXP","TOT","USD_CAP","A","2018",2368.125,
"EST","HEALTHEXP","TOT","USD_CAP","A","2019",2578.793,"P"
"SVN","HEALTHEXP","TOT","USD_CAP","A","2016",2738.131,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2017",2853.329,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2018",3042.262,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2019",3224.02,"P"
"LVA","HEALTHEXP","TOT","USD_CAP","A","2016",1613.746,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2017",1679.834,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2018",1856.485,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2019",1972.572,"E"
"LTU","HEALTHEXP","TOT","USD_CAP","A","2016",2097.717,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2017",2235.942,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2018",2385.085,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2019",2638.133,"P"
"BGR","HEALTHEXP","TOT","USD_CAP","A","2016",1598.294,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2017",1687.664,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2018",1765.159,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2019",1996.441,"E"
"HRV","HEALTHEXP","TOT","USD_CAP","A","2016",1675.313,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2017",1766.985,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2018",1875.422,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2019",2007.899,"E"
"CYP","HEALTHEXP","TOT","USD_CAP","A","2016",2332.398,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2017",2428.144,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2018",2565.639,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2019",2790.266,"E"
"MLT","HEALTHEXP","TOT","USD_CAP","A","2016",3451.386,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2017",3770.457,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2018",3832.632,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2019",4262.218,"E"
"ROU","HEALTHEXP","TOT","USD_CAP","A","2016",1250.917,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2017",1436.126,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2018",1686.092,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2019",1906.81,"E"
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3842.551,
